NAME     READY   STATUS    RESTARTS   AGE     IP                NODE      NOMINATED NODE   READINESS GATES
core-0   2/2     Running   0          4m2s    128.110.219.125   proxy-0   <none>           <none>
gnb-0    1/1     Running   0          3m54s   10.2.2.2          ins1vm    <none>           <none>
gnb-1    1/1     Running   0          3m54s   10.2.3.2          ins2vm    <none>           <none>
gnb-10   1/1     Running   0          3m54s   10.2.12.2         ins11vm   <none>           <none>
gnb-11   1/1     Running   0          3m54s   10.2.13.2         ins12vm   <none>           <none>
gnb-12   1/1     Running   0          3m54s   10.2.15.2         ins14vm   <none>           <none>
gnb-13   1/1     Running   0          3m54s   10.2.16.2         ins15vm   <none>           <none>
gnb-14   1/1     Running   0          3m54s   10.2.17.2         ins16vm   <none>           <none>
gnb-15   1/1     Running   0          3m54s   10.2.18.2         ins17vm   <none>           <none>
gnb-16   1/1     Running   0          3m54s   10.2.19.2         ins18vm   <none>           <none>
gnb-17   1/1     Running   0          3m54s   10.2.20.2         ins19vm   <none>           <none>
gnb-18   1/1     Running   0          3m54s   10.2.21.2         ins20vm   <none>           <none>
gnb-19   1/1     Running   0          3m54s   10.2.22.2         ins21vm   <none>           <none>
gnb-2    1/1     Running   0          3m54s   10.2.4.2          ins3vm    <none>           <none>
gnb-20   1/1     Running   0          3m54s   10.2.23.2         ins22vm   <none>           <none>
gnb-21   1/1     Running   0          3m54s   10.2.24.2         ins23vm   <none>           <none>
gnb-22   1/1     Running   0          3m54s   10.2.25.2         ins24vm   <none>           <none>
gnb-23   1/1     Running   0          3m54s   10.2.26.2         ins25vm   <none>           <none>
gnb-24   1/1     Running   0          3m54s   10.2.27.2         ins26vm   <none>           <none>
gnb-25   1/1     Running   0          3m54s   10.2.28.2         ins27vm   <none>           <none>
gnb-26   1/1     Running   0          3m54s   10.2.29.2         ins28vm   <none>           <none>
gnb-27   1/1     Running   0          3m54s   10.2.30.2         ins29vm   <none>           <none>
gnb-28   1/1     Running   0          3m54s   10.2.31.2         ins30vm   <none>           <none>
gnb-29   1/1     Running   0          3m54s   10.2.32.2         ins31vm   <none>           <none>
gnb-3    1/1     Running   0          3m54s   10.2.5.2          ins4vm    <none>           <none>
gnb-30   1/1     Running   0          3m54s   10.2.33.2         ins32vm   <none>           <none>
gnb-31   1/1     Running   0          3m54s   10.2.34.2         ins33vm   <none>           <none>
gnb-32   1/1     Running   0          3m54s   10.2.35.2         ins34vm   <none>           <none>
gnb-33   1/1     Running   0          3m54s   10.2.36.2         ins35vm   <none>           <none>
gnb-34   1/1     Running   0          3m54s   10.2.37.2         ins36vm   <none>           <none>
gnb-35   1/1     Running   0          3m54s   10.2.38.2         ins37vm   <none>           <none>
gnb-36   1/1     Running   0          3m54s   10.2.39.2         ins38vm   <none>           <none>
gnb-37   1/1     Running   0          3m54s   10.2.40.2         ins39vm   <none>           <none>
gnb-38   1/1     Running   0          3m54s   10.2.41.2         ins40vm   <none>           <none>
gnb-39   1/1     Running   0          3m54s   10.2.42.2         ins41vm   <none>           <none>
gnb-4    1/1     Running   0          3m54s   10.2.6.2          ins5vm    <none>           <none>
gnb-40   1/1     Running   0          3m54s   10.2.43.2         ins42vm   <none>           <none>
gnb-41   1/1     Running   0          3m54s   10.2.44.2         ins43vm   <none>           <none>
gnb-42   1/1     Running   0          3m54s   10.2.45.2         ins44vm   <none>           <none>
gnb-43   1/1     Running   0          3m54s   10.2.46.2         ins45vm   <none>           <none>
gnb-44   1/1     Running   0          3m54s   10.2.47.2         ins46vm   <none>           <none>
gnb-45   1/1     Running   0          3m54s   10.2.48.2         ins47vm   <none>           <none>
gnb-46   1/1     Running   0          3m54s   10.2.49.2         ins48vm   <none>           <none>
gnb-47   1/1     Running   0          3m54s   10.2.50.2         ins49vm   <none>           <none>
gnb-48   1/1     Running   0          3m54s   10.2.51.2         ins50vm   <none>           <none>
gnb-49   1/1     Running   0          3m54s   10.2.52.2         ins51vm   <none>           <none>
gnb-5    1/1     Running   0          3m54s   10.2.7.2          ins6vm    <none>           <none>
gnb-6    1/1     Running   0          3m54s   10.2.8.2          ins7vm    <none>           <none>
gnb-7    1/1     Running   0          3m54s   10.2.9.2          ins8vm    <none>           <none>
gnb-8    1/1     Running   0          3m54s   10.2.10.2         ins9vm    <none>           <none>
gnb-9    1/1     Running   0          3m54s   10.2.11.2         ins10vm   <none>           <none>
ue-0     2/2     Running   0          4m      10.244.8.10       ins2vm    <none>           <none>
ue-1     2/2     Running   0          4m      10.244.17.7       ins45vm   <none>           <none>
ue-10    2/2     Running   0          4m      10.244.53.9       ins53vm   <none>           <none>
ue-11    2/2     Running   0          4m      10.244.65.6       ins29vm   <none>           <none>
ue-12    2/2     Running   0          4m      10.244.11.6       ins69vm   <none>           <none>
ue-13    2/2     Running   0          4m      10.244.42.7       ins49vm   <none>           <none>
ue-14    2/2     Running   0          4m      10.244.27.8       ins24vm   <none>           <none>
ue-15    2/2     Running   0          4m      10.244.3.7        ins31vm   <none>           <none>
ue-16    2/2     Running   0          4m      10.244.72.6       ins19vm   <none>           <none>
ue-17    2/2     Running   0          4m      10.244.98.5       ins39vm   <none>           <none>
ue-18    2/2     Running   0          4m      10.244.113.7      ins8vm    <none>           <none>
ue-19    2/2     Running   0          4m      10.244.73.7       ins44vm   <none>           <none>
ue-2     2/2     Running   0          4m      10.244.85.6       ins27vm   <none>           <none>
ue-20    2/2     Running   0          4m      10.244.82.6       ins48vm   <none>           <none>
ue-21    2/2     Running   0          4m      10.244.77.4       ins1vm    <none>           <none>
ue-22    2/2     Running   0          4m      10.244.39.9       ins64vm   <none>           <none>
ue-23    2/2     Running   0          4m      10.244.74.9       ins54vm   <none>           <none>
ue-24    2/2     Running   0          4m      10.244.28.7       ins36vm   <none>           <none>
ue-25    2/2     Running   0          4m      10.244.101.7      ins35vm   <none>           <none>
ue-26    2/2     Running   0          4m      10.244.1.6        ins70vm   <none>           <none>
ue-27    2/2     Running   0          4m      10.244.89.7       ins40vm   <none>           <none>
ue-28    2/2     Running   0          4m      10.244.71.5       ins42vm   <none>           <none>
ue-29    2/2     Running   0          4m      10.244.52.8       ins28vm   <none>           <none>
ue-3     2/2     Running   0          4m      10.244.76.7       ins50vm   <none>           <none>
ue-30    2/2     Running   0          4m      10.244.66.7       ins12vm   <none>           <none>
ue-31    2/2     Running   0          3m59s   10.244.68.8       ins25vm   <none>           <none>
ue-32    2/2     Running   0          3m59s   10.244.61.7       ins20vm   <none>           <none>
ue-33    2/2     Running   0          3m59s   10.244.67.6       ins26vm   <none>           <none>
ue-34    2/2     Running   0          3m59s   10.244.96.8       ins22vm   <none>           <none>
ue-35    2/2     Running   0          3m59s   10.244.90.5       ins60vm   <none>           <none>
ue-36    2/2     Running   0          4m      10.244.2.8        ins43vm   <none>           <none>
