Data plane is up
Running irtt
UE IP is 10.45.0.5
[Connecting] connecting to 10.4.1.1
[10.4.1.1:2112] [Connected] connection established
seq=0 rtt=24.15ms rd=-12m57s sd=12m57s ipdv=n/a
seq=1 rtt=25.01ms rd=-13m57s sd=13m57s ipdv=857µs
seq=2 rtt=26.66ms rd=-14m55s sd=14m56s ipdv=1.65ms
seq=3 rtt=25.11ms rd=-15m52s sd=15m53s ipdv=1.55ms
seq=4 rtt=24.82ms rd=-16m51s sd=16m51s ipdv=291µs
seq=5 rtt=22.43ms rd=-17m48s sd=17m48s ipdv=2.39ms
seq=6 rtt=21.45ms rd=-18m45s sd=18m45s ipdv=977µs
seq=7 rtt=18.84ms rd=-19m42s sd=19m42s ipdv=2.61ms
seq=8 rtt=18.07ms rd=-20m39s sd=20m39s ipdv=766µs
seq=9 rtt=15.52ms rd=-21m36s sd=21m36s ipdv=2.56ms
seq=10 rtt=14.29ms rd=-22m33s sd=22m33s ipdv=1.23ms
seq=11 rtt=11.05ms rd=-23m30s sd=23m30s ipdv=3.24ms
seq=12 rtt=9.57ms rd=-24m27s sd=24m27s ipdv=1.49ms
seq=13 rtt=139ms rd=-25m26s sd=25m26s ipdv=129.4ms
seq=14 rtt=29.42ms rd=-26m23s sd=26m23s ipdv=109.6ms
seq=15 rtt=27.76ms rd=-27m20s sd=27m20s ipdv=1.66ms
seq=16 rtt=25.24ms rd=-28m17s sd=28m17s ipdv=2.52ms
seq=17 rtt=22.92ms rd=-29m14s sd=29m14s ipdv=2.31ms
seq=18 rtt=22.28ms rd=-30m12s sd=30m12s ipdv=642µs
seq=19 rtt=30.02ms rd=-31m11s sd=31m11s ipdv=7.74ms
seq=20 rtt=29.75ms rd=-32m9s sd=32m9s ipdv=269µs
seq=21 rtt=28.78ms rd=-33m7s sd=33m7s ipdv=975µs
seq=22 rtt=28.75ms rd=-34m6s sd=34m6s ipdv=25.7µs
seq=23 rtt=27.8ms rd=-35m4s sd=35m4s ipdv=955µs
seq=24 rtt=27.06ms rd=-36m2s sd=36m2s ipdv=738µs
seq=25 rtt=27.39ms rd=-37m1s sd=37m1s ipdv=330µs
seq=26 rtt=26.2ms rd=-37m59s sd=37m59s ipdv=1.19ms
seq=27 rtt=26.28ms rd=-38m57s sd=38m58s ipdv=81.1µs
seq=28 rtt=25.05ms rd=-39m56s sd=39m56s ipdv=1.23ms
seq=29 rtt=25ms rd=-40m54s sd=40m54s ipdv=55.8µs
seq=30 rtt=23.82ms rd=-41m52s sd=41m52s ipdv=1.17ms
seq=31 rtt=23.94ms rd=-42m51s sd=42m51s ipdv=118µs
seq=32 rtt=23.68ms rd=-43m50s sd=43m50s ipdv=261µs
seq=33 rtt=23.92ms rd=-44m49s sd=44m49s ipdv=241µs
seq=34 rtt=23.27ms rd=-45m47s sd=45m47s ipdv=647µs
seq=35 rtt=23.98ms rd=-46m46s sd=46m46s ipdv=713µs
seq=36 rtt=23.19ms rd=-47m45s sd=47m45s ipdv=792µs
seq=37 rtt=23.91ms rd=-48m44s sd=48m44s ipdv=720µs
seq=38 rtt=23.83ms rd=-49m43s sd=49m43s ipdv=84.2µs
seq=39 rtt=22.77ms rd=-50m42s sd=50m42s ipdv=1.05ms
seq=40 rtt=22.63ms rd=-51m41s sd=51m41s ipdv=140µs
seq=41 rtt=22.75ms rd=-52m39s sd=52m39s ipdv=121µs
seq=42 rtt=22.63ms rd=-53m38s sd=53m38s ipdv=122µs
seq=43 rtt=22.77ms rd=-54m37s sd=54m37s ipdv=135µs
seq=44 rtt=22.57ms rd=-55m35s sd=55m36s ipdv=199µs
seq=45 rtt=22.66ms rd=-56m34s sd=56m34s ipdv=89.7µs
seq=46 rtt=21.47ms rd=-57m33s sd=57m33s ipdv=1.19ms
seq=47 rtt=21.61ms rd=-58m32s sd=58m32s ipdv=142µs
seq=48 rtt=21.52ms rd=-59m30s sd=59m30s ipdv=93.9µs
seq=49 rtt=21.55ms rd=-1h0m29s sd=1h0m29s ipdv=30.3µs
seq=50 rtt=21.37ms rd=-1h1m28s sd=1h1m28s ipdv=177µs
seq=51 rtt=20.57ms rd=-1h2m26s sd=1h2m26s ipdv=803µs
seq=52 rtt=20.35ms rd=-1h3m25s sd=1h3m25s ipdv=221µs
seq=53 rtt=20.35ms rd=-1h4m24s sd=1h4m24s ipdv=3.55µs
seq=54 rtt=20.26ms rd=-1h5m22s sd=1h5m22s ipdv=88.8µs
seq=55 rtt=20.25ms rd=-1h6m21s sd=1h6m21s ipdv=8.97µs
seq=56 rtt=19.13ms rd=-1h7m20s sd=1h7m20s ipdv=1.12ms
