Data plane is up
Running irtt
UE IP is 10.45.0.76
[Connecting] connecting to 10.4.1.1
[10.4.1.1:2112] [Connected] connection established
seq=0 rtt=23.84ms rd=-14m29s sd=14m29s ipdv=n/a
seq=1 rtt=22.72ms rd=-15m27s sd=15m27s ipdv=1.12ms
seq=2 rtt=21.16ms rd=-16m25s sd=16m25s ipdv=1.56ms
seq=3 rtt=19.31ms rd=-17m22s sd=17m22s ipdv=1.85ms
seq=4 rtt=17.66ms rd=-18m20s sd=18m20s ipdv=1.65ms
seq=5 rtt=15.78ms rd=-19m17s sd=19m17s ipdv=1.88ms
seq=6 rtt=14.7ms rd=-20m14s sd=20m14s ipdv=1.08ms
seq=7 rtt=12.85ms rd=-21m11s sd=21m11s ipdv=1.86ms
seq=8 rtt=10.21ms rd=-22m8s sd=22m8s ipdv=2.64ms
seq=9 rtt=9.72ms rd=-23m5s sd=23m5s ipdv=493µs
seq=10 rtt=29.65ms rd=-24m4s sd=24m4s ipdv=19.93ms
seq=11 rtt=28.3ms rd=-25m1s sd=25m1s ipdv=1.34ms
seq=12 rtt=25.91ms rd=-25m58s sd=25m58s ipdv=2.39ms
seq=13 rtt=23.68ms rd=-26m55s sd=26m55s ipdv=2.24ms
seq=14 rtt=21.9ms rd=-27m52s sd=27m52s ipdv=1.78ms
seq=15 rtt=19.73ms rd=-28m49s sd=28m49s ipdv=2.17ms
seq=16 rtt=18.12ms rd=-29m46s sd=29m46s ipdv=1.6ms
seq=17 rtt=16.52ms rd=-30m44s sd=30m44s ipdv=1.6ms
seq=18 rtt=15.86ms rd=-31m42s sd=31m42s ipdv=663µs
seq=19 rtt=15.32ms rd=-32m40s sd=32m40s ipdv=537µs
seq=20 rtt=14.93ms rd=-33m38s sd=33m38s ipdv=386µs
seq=21 rtt=14.14ms rd=-34m37s sd=34m37s ipdv=796µs
seq=22 rtt=13.38ms rd=-35m35s sd=35m35s ipdv=757µs
seq=23 rtt=13.05ms rd=-36m33s sd=36m33s ipdv=336µs
seq=24 rtt=13.35ms rd=-37m32s sd=37m32s ipdv=304µs
seq=25 rtt=11.81ms rd=-38m30s sd=38m30s ipdv=1.54ms
seq=26 rtt=12.19ms rd=-39m29s sd=39m29s ipdv=378µs
seq=27 rtt=11.09ms rd=-40m27s sd=40m27s ipdv=1.1ms
seq=28 rtt=10.82ms rd=-41m25s sd=41m25s ipdv=270µs
seq=29 rtt=12.71ms rd=-42m24s sd=42m24s ipdv=1.89ms
seq=30 rtt=11.95ms rd=-43m23s sd=43m23s ipdv=760µs
seq=31 rtt=12.09ms rd=-44m22s sd=44m22s ipdv=141µs
seq=32 rtt=11.95ms rd=-45m20s sd=45m20s ipdv=145µs
seq=33 rtt=11.65ms rd=-46m19s sd=46m19s ipdv=299µs
seq=34 rtt=12.01ms rd=-47m18s sd=47m18s ipdv=358µs
seq=35 rtt=11.67ms rd=-48m17s sd=48m17s ipdv=337µs
seq=36 rtt=12.11ms rd=-49m16s sd=49m16s ipdv=441µs
seq=37 rtt=12.4ms rd=-50m14s sd=50m14s ipdv=286µs
seq=38 rtt=12.04ms rd=-51m13s sd=51m13s ipdv=356µs
seq=39 rtt=12.15ms rd=-52m12s sd=52m12s ipdv=109µs
seq=40 rtt=11.67ms rd=-53m11s sd=53m11s ipdv=483µs
seq=41 rtt=11.63ms rd=-54m10s sd=54m10s ipdv=32.4µs
seq=42 rtt=11.96ms rd=-55m8s sd=55m8s ipdv=325µs
seq=43 rtt=10.46ms rd=-56m7s sd=56m7s ipdv=1.5ms
seq=44 rtt=10.86ms rd=-57m6s sd=57m6s ipdv=396µs
seq=45 rtt=10.49ms rd=-58m4s sd=58m4s ipdv=367µs
seq=46 rtt=10.87ms rd=-59m3s sd=59m3s ipdv=378µs
seq=47 rtt=10.45ms rd=-1h0m2s sd=1h0m2s ipdv=416µs
seq=48 rtt=9.66ms rd=-1h1m0s sd=1h1m0s ipdv=787µs
seq=49 rtt=9.37ms rd=-1h1m59s sd=1h1m59s ipdv=299µs
seq=50 rtt=9.68ms rd=-1h2m58s sd=1h2m58s ipdv=317µs
seq=51 rtt=9.3ms rd=-1h3m57s sd=1h3m57s ipdv=381µs
seq=52 rtt=9.57ms rd=-1h4m55s sd=1h4m55s ipdv=268µs
seq=53 rtt=9.62ms rd=-1h5m54s sd=1h5m54s ipdv=51.8µs
seq=54 rtt=9.62ms rd=-1h6m53s sd=1h6m53s ipdv=890ns
