Data plane is up
Running irtt
UE IP is 10.45.0.41
[Connecting] connecting to 10.4.1.1
[10.4.1.1:2112] [Connected] connection established
seq=0 rtt=23.87ms rd=-14m10s sd=14m10s ipdv=n/a
seq=1 rtt=22.72ms rd=-15m8s sd=15m8s ipdv=1.15ms
seq=2 rtt=20.95ms rd=-16m5s sd=16m5s ipdv=1.77ms
seq=3 rtt=19.77ms rd=-17m3s sd=17m3s ipdv=1.18ms
seq=4 rtt=19.2ms rd=-18m1s sd=18m1s ipdv=570µs
seq=5 rtt=16.52ms rd=-18m58s sd=18m58s ipdv=2.68ms
seq=6 rtt=14.69ms rd=-19m55s sd=19m55s ipdv=1.83ms
seq=7 rtt=12.77ms rd=-20m52s sd=20m52s ipdv=1.91ms
seq=8 rtt=10.69ms rd=-21m49s sd=21m49s ipdv=2.08ms
seq=9 rtt=9.36ms rd=-22m46s sd=22m46s ipdv=1.33ms
seq=10 rtt=30.33ms rd=-23m45s sd=23m45s ipdv=20.97ms
seq=11 rtt=28.63ms rd=-24m42s sd=24m42s ipdv=1.7ms
seq=12 rtt=26.59ms rd=-25m39s sd=25m39s ipdv=2.04ms
seq=13 rtt=24.68ms rd=-26m36s sd=26m36s ipdv=1.91ms
seq=14 rtt=22.36ms rd=-27m33s sd=27m33s ipdv=2.33ms
seq=15 rtt=20.82ms rd=-28m30s sd=28m30s ipdv=1.54ms
seq=16 rtt=18.81ms rd=-29m27s sd=29m27s ipdv=2.01ms
seq=17 rtt=17.49ms rd=-30m24s sd=30m24s ipdv=1.32ms
seq=18 rtt=16.63ms rd=-31m22s sd=31m22s ipdv=863µs
seq=19 rtt=16.35ms rd=-32m21s sd=32m21s ipdv=274µs
seq=20 rtt=14.98ms rd=-33m19s sd=33m19s ipdv=1.37ms
seq=21 rtt=14.95ms rd=-34m17s sd=34m17s ipdv=29.4µs
seq=22 rtt=14.21ms rd=-35m16s sd=35m16s ipdv=746µs
seq=23 rtt=13.39ms rd=-36m14s sd=36m14s ipdv=819µs
seq=24 rtt=13.04ms rd=-37m13s sd=37m13s ipdv=347µs
seq=25 rtt=12.26ms rd=-38m11s sd=38m11s ipdv=785µs
seq=26 rtt=12.04ms rd=-39m9s sd=39m9s ipdv=215µs
seq=27 rtt=11.04ms rd=-40m7s sd=40m7s ipdv=1.01ms
seq=28 rtt=9.97ms rd=-41m6s sd=41m6s ipdv=1.07ms
seq=29 rtt=10.27ms rd=-42m4s sd=42m4s ipdv=299µs
seq=30 rtt=12.06ms rd=-43m3s sd=43m3s ipdv=1.79ms
seq=31 rtt=12.85ms rd=-44m2s sd=44m2s ipdv=788µs
seq=32 rtt=12.75ms rd=-45m1s sd=45m1s ipdv=101µs
seq=33 rtt=11.95ms rd=-46m0s sd=46m0s ipdv=794µs
seq=34 rtt=11.66ms rd=-46m59s sd=46m59s ipdv=296µs
seq=35 rtt=12.56ms rd=-47m57s sd=47m57s ipdv=903µs
seq=36 rtt=12.29ms rd=-48m56s sd=48m56s ipdv=271µs
seq=37 rtt=11.52ms rd=-49m55s sd=49m55s ipdv=773µs
seq=38 rtt=11.66ms rd=-50m54s sd=50m54s ipdv=142µs
seq=39 rtt=11.96ms rd=-51m53s sd=51m53s ipdv=299µs
seq=40 rtt=11.21ms rd=-52m51s sd=52m51s ipdv=743µs
seq=41 rtt=10.81ms rd=-53m50s sd=53m50s ipdv=402µs
seq=42 rtt=10.54ms rd=-54m49s sd=54m49s ipdv=271µs
seq=43 rtt=10.65ms rd=-55m48s sd=55m48s ipdv=115µs
seq=44 rtt=10.46ms rd=-56m46s sd=56m46s ipdv=191µs
seq=45 rtt=10.76ms rd=-57m45s sd=57m45s ipdv=301µs
seq=46 rtt=10.22ms rd=-58m44s sd=58m44s ipdv=547µs
seq=47 rtt=10.36ms rd=-59m42s sd=59m42s ipdv=139µs
seq=48 rtt=9.32ms rd=-1h0m41s sd=1h0m41s ipdv=1.04ms
seq=49 rtt=9.67ms rd=-1h1m40s sd=1h1m40s ipdv=345µs
seq=50 rtt=9.31ms rd=-1h2m38s sd=1h2m38s ipdv=352µs
seq=51 rtt=9.58ms rd=-1h3m37s sd=1h3m37s ipdv=265µs
seq=52 rtt=9.39ms rd=-1h4m36s sd=1h4m36s ipdv=188µs
seq=53 rtt=9.67ms rd=-1h5m35s sd=1h5m35s ipdv=277µs
seq=54 rtt=9.37ms rd=-1h6m33s sd=1h6m33s ipdv=299µs
seq=55 rtt=9.58ms rd=-1h7m32s sd=1h7m32s ipdv=207µs
