Data plane is up
Running irtt
UE IP is 10.45.0.2
[Connecting] connecting to 10.4.1.1
[10.4.1.1:2112] [Connected] connection established
seq=0 rtt=21.34ms rd=-2m8s sd=2m8s ipdv=n/a
seq=1 rtt=10.64ms rd=-2m15s sd=2m15s ipdv=10.7ms
seq=2 rtt=22.22ms rd=-2m23s sd=2m23s ipdv=11.58ms
seq=3 rtt=12.84ms rd=-2m30s sd=2m30s ipdv=9.38ms
seq=4 rtt=23.89ms rd=-2m37s sd=2m37s ipdv=11.05ms
seq=5 rtt=14.9ms rd=-2m45s sd=2m45s ipdv=8.99ms
seq=6 rtt=26.05ms rd=-2m52s sd=2m52s ipdv=11.16ms
seq=7 rtt=15.98ms rd=-2m59s sd=2m59s ipdv=10.07ms
seq=8 rtt=27.16ms rd=-3m7s sd=3m7s ipdv=11.18ms
seq=9 rtt=17.46ms rd=-3m14s sd=3m14s ipdv=9.7ms
seq=10 rtt=8.99ms rd=-3m21s sd=3m21s ipdv=8.47ms
seq=11 rtt=19.21ms rd=-3m29s sd=3m29s ipdv=10.23ms
seq=12 rtt=9.57ms rd=-3m36s sd=3m36s ipdv=9.64ms
seq=13 rtt=21.27ms rd=-3m43s sd=3m43s ipdv=11.7ms
seq=14 rtt=11.78ms rd=-3m50s sd=3m50s ipdv=9.5ms
seq=15 rtt=22.4ms rd=-3m58s sd=3m58s ipdv=10.63ms
seq=16 rtt=12.76ms rd=-4m5s sd=4m5s ipdv=9.64ms
seq=17 rtt=23.75ms rd=-4m12s sd=4m12s ipdv=10.98ms
seq=18 rtt=13.85ms rd=-4m19s sd=4m19s ipdv=9.89ms
seq=19 rtt=26.26ms rd=-4m27s sd=4m27s ipdv=12.41ms
seq=20 rtt=15.95ms rd=-4m34s sd=4m34s ipdv=10.31ms
seq=21 rtt=27.96ms rd=-4m41s sd=4m41s ipdv=12.02ms
seq=22 rtt=18.05ms rd=-4m48s sd=4m48s ipdv=9.92ms
seq=23 rtt=28.8ms rd=-4m56s sd=4m56s ipdv=10.75ms
seq=24 rtt=18.84ms rd=-5m3s sd=5m3s ipdv=9.95ms
seq=25 rtt=9.86ms rd=-5m10s sd=5m10s ipdv=8.98ms
seq=26 rtt=20.89ms rd=-5m18s sd=5m18s ipdv=11.03ms
seq=27 rtt=10.78ms rd=-5m25s sd=5m25s ipdv=10.1ms
seq=28 rtt=22.33ms rd=-5m32s sd=5m32s ipdv=11.55ms
seq=29 rtt=12.65ms rd=-5m39s sd=5m39s ipdv=9.68ms
seq=30 rtt=24.3ms rd=-5m47s sd=5m47s ipdv=11.65ms
seq=31 rtt=13.82ms rd=-5m54s sd=5m54s ipdv=10.48ms
seq=32 rtt=25.86ms rd=-6m1s sd=6m1s ipdv=12.04ms
seq=33 rtt=16.03ms rd=-6m8s sd=6m8s ipdv=9.82ms
seq=34 rtt=26.82ms rd=-6m16s sd=6m16s ipdv=10.79ms
seq=35 rtt=17.79ms rd=-6m23s sd=6m23s ipdv=9.03ms
seq=36 rtt=8.93ms rd=-6m30s sd=6m30s ipdv=8.86ms
seq=37 rtt=19.21ms rd=-6m38s sd=6m38s ipdv=10.28ms
seq=38 rtt=9.47ms rd=-6m45s sd=6m45s ipdv=9.74ms
seq=39 rtt=21.17ms rd=-6m52s sd=6m52s ipdv=11.7ms
seq=40 rtt=10.61ms rd=-6m59s sd=6m59s ipdv=10.56ms
seq=41 rtt=22.4ms rd=-7m7s sd=7m7s ipdv=11.79ms
seq=42 rtt=12.77ms rd=-7m14s sd=7m14s ipdv=9.63ms
seq=43 rtt=24.1ms rd=-7m21s sd=7m21s ipdv=11.33ms
seq=44 rtt=13.96ms rd=-7m28s sd=7m28s ipdv=10.14ms
seq=45 rtt=25.79ms rd=-7m36s sd=7m36s ipdv=11.83ms
seq=46 rtt=15.91ms rd=-7m43s sd=7m43s ipdv=9.88ms
seq=47 rtt=26.71ms rd=-7m50s sd=7m50s ipdv=10.81ms
seq=48 rtt=17.11ms rd=-7m57s sd=7m57s ipdv=9.61ms
seq=49 rtt=28.55ms rd=-8m5s sd=8m5s ipdv=11.44ms
seq=50 rtt=19.15ms rd=-8m12s sd=8m12s ipdv=9.4ms
seq=51 rtt=8.89ms rd=-8m19s sd=8m19s ipdv=10.26ms
seq=52 rtt=20.29ms rd=-8m26s sd=8m26s ipdv=11.4ms
seq=53 rtt=10.63ms rd=-8m33s sd=8m34s ipdv=9.66ms
seq=54 rtt=22.33ms rd=-8m41s sd=8m41s ipdv=11.69ms
seq=55 rtt=12.84ms rd=-8m48s sd=8m48s ipdv=9.48ms
seq=56 rtt=24.31ms rd=-8m56s sd=8m56s ipdv=11.47ms
seq=57 rtt=13.82ms rd=-9m3s sd=9m3s ipdv=10.49ms
seq=58 rtt=24.88ms rd=-9m10s sd=9m10s ipdv=11.06ms
seq=59 rtt=16.03ms rd=-9m17s sd=9m17s ipdv=8.86ms
seq=60 rtt=27.27ms rd=-9m25s sd=9m25s ipdv=11.24ms
seq=61 rtt=17.46ms rd=-9m32s sd=9m32s ipdv=9.81ms
seq=62 rtt=8.53ms rd=-9m39s sd=9m39s ipdv=8.93ms
seq=63 rtt=19.22ms rd=-9m47s sd=9m47s ipdv=10.7ms
